"Country.Code","NY.GDP.PCAP.CD","NY.GNP.PCAP.CD","SH.IMM.IDPT","SH.IMM.HEPB","SH.IMM.MEAS","SH.TBS.INCD","ST.INT.ARVL","AG.LND.TOTL.K2","TX.VAL.MRCH.WL.CD","TX.VAL.MRCH.HI.ZS","TM.VAL.MRCH.HI.ZS","TG.VAL.TOTL.GD.ZS","NY.GSR.NFCY.CD","SP.POP.0014.TO.ZS","SP.POP.1564.TO.ZS","SP.POP.65UP.TO.ZS","EN.POP.DNST","SP.POP.TOTL","SP.RUR.TOTL.ZS","BG.GSR.NFSV.GD.ZS","SH.TBS.DTEC.ZS","EG.ELC.ACCS.ZS","SP.DYN.LE00.IN","SM.POP.NETM","SH.TBS.CURE.ZS","SH.UHC.SRVS.CV.XD","SH.DTH.COMM.ZS","SH.XPD.CHEX.PC.CD","SH.XPD.GHED.PC.CD","SH.XPD.PVTD.PC.CD","SM.POP.TOTL.ZS"
"ARE",43004.95336,40880,99,99,99,1,21286000,71020,2.97364e+11,35.36296502,49.06480034,144.5027592,1987746767,14.60350937,84.31148965,1.085000985,135.6091101,9630959,13.478,3.971727974,87,100,77.647,2e+05,74,76,6.5,1323.116803,958.9619755,364.1548276,88.40404837
"GBR",42943.90227,41770,94,25,92,8,36316000,241930,4.86595e+11,81.10899597,75.45105396,40.60033366,-38490804138,17.67808207,63.92605226,18.39586567,274.8273922,66488991,16.602,22.88679531,89,100,81.15609756,1303250,81,87,7.7,3958.018894,3175.334765,782.2863549,13.20097825
"USA",62794.58565,63080,94,91,92,3,79745920,9147420,1.66424e+12,60.16015948,48.61320423,20.82525542,2.679e+11,18.70903998,65.48330596,15.80765406,35.76608858,327167434,17.744,6.786787823,87,100,78.53902439,4774029,77,84,5.2,9869.742382,8077.925836,1791.816543,14.49065352
"URY",17277.97011,15650,91,91,97,33,3469000,175020,7515635966,22.82528065,27.03528023,27.50311529,-4123978060,20.60798107,64.57749939,14.81451953,19.70802765,3449299,4.666,14.88505074,87,100,77.632,-15000,73,80,7.6,1379.098557,988.7257085,389.8433927,2.092316749
"UZB",1532.371677,2020,98,98,96,70,5346000,425400,11224050457,5.258763833,33.17091345,56.48325605,1523099931,28.68605741,66.89480471,4.419137878,77.46920545,32955400,49.522,15.72408215,72,100,71.388,-44314,89,73,10.3,135.1111585,62.32369484,71.19180025,3.91690324
"VUT",3123.893396,3130,85,85,75,46,116000,12190,58053535,54.98099814,67.32918455,45.936726,8228710.074,38.84823015,57.51161678,3.640153068,24.00984413,292680,74.726,66.92772158,67,62.78429413,70.172,600,96,48,18.8,109.8141407,59.16068393,12.64560702,1.204222904
"VEN",16054.49051,13080,60,60,74,48,427000,882050,36564014221,45.21304563,47.76189788,24.43883541,-5425456224,27.66665058,65.0663628,7.26698662,32.73079191,28870195,11.792,3.971727974,80,100,72.246,-3266243,82,74,11.3,1578.440192,601.9374079,976.4692323,4.514736572
"VNM",2566.59695,2360,75,75,97,182,15498000,310070,2.38866e+11,65.23315584,53.64451489,199.7563869,-17156850817,23.17267683,69.55234487,7.274978298,308.1252459,95540395,64.081,13.56388401,57,100,75.241,-399999,92,75,11.5,122.8411739,58.26556802,59.5781363,0.077897131
"YEM",944.4084994,1460,65,65,64,48,366700,527970,468162742,19.17061332,38.50242314,40.49876311,-1016104.307,39.61489027,57.50883997,2.876269756,53.97785291,28498687,63.358,6.211075857,71,79.2,66.086,-150000,89,42,28.7,72.03946941,7.33537794,59.09657643,1.282529228
"ZMB",1539.900158,1430,90,90,94,346,1072000,743390,9303803972,59.43028747,26.49301581,69.28873173,-767196029.9,44.93614116,52.96418082,2.099678026,23.3414789,17351822,56.479,9.845750318,58,40.3,63.043,-40000,90,53,60.6,56.5441821,21.65057408,10.8650317,0.78902565
"ZWE",2146.996385,1790,89,89,88,210,2580000,386850,3443829637,23.11797307,13.20721995,27.78663117,-136403541.6,42.40106624,54.65941011,2.939523653,37.32459093,14439018,67.791,6.626501637,83,40.42136765,60.812,-584288,83,54,54.6,93.94222513,43.68682584,26.37403666,2.556382525
