Time,Susceptible,Infected,Recovered/Deaths,Country
2020-10-03,132559,100835,6748688,Serbia
2020-10-04,132336,98173,6751574,Serbia
2020-10-05,132119,95583,6754381,Serbia
2020-10-06,131908,93062,6757112,Serbia
2020-10-07,131704,90609,6759770,Serbia
2020-10-08,131506,88222,6762355,Serbia
2020-10-09,131313,85898,6764871,Serbia
2020-10-10,131126,83637,6767320,Serbia
2020-10-11,130944,81435,6769703,Serbia
2020-10-12,130767,79292,6772023,Serbia
2020-10-13,130595,77206,6774282,Serbia
2020-10-14,130428,75174,6776481,Serbia
2020-10-15,130265,73195,6778623,Serbia
2020-10-16,130106,71267,6780709,Serbia
2020-10-17,129952,69388,6782742,Serbia
2020-10-18,129802,67558,6784723,Serbia
2020-10-19,129655,65773,6786655,Serbia
2020-10-20,129512,64032,6788539,Serbia
2020-10-21,129372,62335,6790375,Serbia
2020-10-22,129236,60682,6792164,Serbia
2020-10-23,129104,59071,6793907,Serbia
2020-10-24,128976,57502,6795604,Serbia
2020-10-25,128850,55975,6797258,Serbia
2020-10-26,128729,54487,6798867,Serbia
2020-10-27,128610,53038,6800435,Serbia
2020-10-28,128495,51627,6801960,Serbia
2020-10-29,128383,50254,6803446,Serbia
2020-10-30,128274,48917,6804891,Serbia
2020-10-31,128168,47616,6806298,Serbia
2020-11-01,128065,46350,6807667,Serbia
2020-11-02,127965,45118,6809000,Serbia
2020-11-03,127868,43919,6810296,Serbia
2020-11-04,127773,42752,6811558,Serbia
2020-11-05,127681,41617,6812785,Serbia
2020-11-06,127592,40512,6813979,Serbia
2020-11-07,127505,39438,6815140,Serbia
2020-11-08,127420,38392,6816270,Serbia
2020-11-09,127338,37375,6817369,Serbia
2020-11-10,127259,36386,6818438,Serbia
2020-11-11,127181,35423,6819478,Serbia
2020-11-12,127106,34486,6820490,Serbia
2020-11-13,127033,33575,6821475,Serbia
2020-11-14,126961,32689,6822433,Serbia
2020-11-15,126892,31826,6823365,Serbia
2020-11-16,126825,30986,6824272,Serbia
2020-11-17,126759,30169,6825154,Serbia
2020-11-18,126695,29374,6826013,Serbia
2020-11-19,126633,28599,6826850,Serbia
2020-11-20,126573,27845,6827664,Serbia
2020-11-21,126514,27111,6828458,Serbia
2020-11-22,126457,26395,6829230,Serbia
2020-11-23,126401,25698,6829983,Serbia
2020-11-24,126347,25019,6830717,Serbia
2020-11-25,126294,24356,6831432,Serbia
2020-11-26,126242,23710,6832130,Serbia
2020-11-27,126192,23080,6832810,Serbia
2020-11-28,126143,22467,6833473,Serbia
2020-11-29,126095,21869,6834118,Serbia
2020-11-30,126048,21287,6834747,Serbia
2020-12-01,126003,20721,6835359,Serbia
2020-12-02,125959,20169,6835955,Serbia
2020-12-03,125916,19631,6836535,Serbia
2020-12-04,125874,19108,6837100,Serbia
2020-12-05,125834,18599,6837650,Serbia
2020-12-06,125794,18103,6838185,Serbia
2020-12-07,125756,17621,6838706,Serbia
2020-12-08,125718,17152,6839212,Serbia
2020-12-09,125682,16695,6839705,Serbia
2020-12-10,125647,16251,6840185,Serbia
2020-12-11,125612,15818,6840652,Serbia
2020-12-12,125579,15398,6841106,Serbia
2020-12-13,125546,14989,6841548,Serbia
2020-12-14,125514,14591,6841977,Serbia
2020-12-15,125484,14203,6842395,Serbia
2020-12-16,125454,13827,6842802,Serbia
2020-12-17,125425,13460,6843197,Serbia
2020-12-18,125396,13104,6843582,Serbia
2020-12-19,125369,12757,6843956,Serbia
2020-12-20,125342,12420,6844321,Serbia
2020-12-21,125316,12092,6844675,Serbia
2020-12-22,125291,11772,6845019,Serbia
2020-12-23,125266,11462,6845355,Serbia
2020-12-24,125242,11159,6845681,Serbia
2020-12-25,125219,10865,6845999,Serbia
2020-12-26,125196,10578,6846308,Serbia
2020-12-27,125174,10299,6846609,Serbia
2020-12-28,125152,10027,6846903,Serbia
2020-12-29,125131,9763,6847188,Serbia
2020-12-30,125111,9505,6847467,Serbia
2020-12-31,125091,9253,6847738,Serbia
2021-01-01,125072,9008,6848003,Serbia
2021-01-02,125053,8769,6848261,Serbia
2021-01-03,125034,8536,6848512,Serbia
2021-01-04,125016,8309,6848757,Serbia
2021-01-05,124999,8089,6848995,Serbia
2021-01-06,124982,7874,6849227,Serbia
2021-01-07,124965,7664,6849453,Serbia
2021-01-08,124949,7461,6849672,Serbia
2021-01-09,124933,7263,6849886,Serbia
2021-01-10,124918,7070,6850095,Serbia
2021-01-11,124903,6882,6850297,Serbia
2021-01-12,124889,6699,6850495,Serbia
2021-01-13,124875,6521,6850687,Serbia
2021-01-14,124861,6348,6850874,Serbia
2021-01-15,124848,6179,6851056,Serbia
2021-01-16,124835,6015,6851233,Serbia
2021-01-17,124822,5855,6851405,Serbia
2020-03-29,-637670,539515,194916,Seychelles
2020-03-30,-672302,548499,220564,Seychelles
2020-03-31,-690626,553822,233566,Seychelles
2020-04-01,-729393,566182,259973,Seychelles
2020-04-02,-771201,580964,286998,Seychelles
2020-04-03,-793377,589359,300780,Seychelles
2020-04-04,-840663,608452,328972,Seychelles
2020-04-05,-865970,619305,343427,Seychelles
2020-04-06,-920511,644097,373176,Seychelles
2020-04-07,-981250,673778,404233,Seychelles
2020-04-08,-1014357,690787,420331,Seychelles
2020-04-09,-1086993,729914,453841,Seychelles
2020-04-10,-1126945,752378,471329,Seychelles
2020-04-11,-1215481,804243,508000,Seychelles
2020-04-12,-1318219,867616,547364,Seychelles
2020-04-13,-1376082,904604,568239,Seychelles
2020-04-14,-1508484,992371,612875,Seychelles
2020-04-15,-1584996,1044872,636885,Seychelles
2020-04-16,-1765642,1173328,689075,Seychelles
2020-04-17,-1997490,1345984,748267,Seychelles
2020-04-18,-2135781,1451496,781047,Seychelles
2020-04-19,-2483531,1725003,855290,Seychelles
2020-04-20,-2712433,1911020,898175,Seychelles
2020-04-21,-3351134,2447621,1000275,Seychelles
2020-04-22,-4427903,3389151,1135513,Seychelles
2020-04-23,-5316249,4188817,1224193,Seychelles
2020-04-24,-9185679,7792687,1489753,Seychelles
2020-04-25,-14996331,13365318,1727775,Seychelles
2020-04-26,-45489301,43319633,2266429,Seychelles
2020-04-08,6105321,1103745,441087,Sierra Leone
2020-04-09,6029954,1150679,469519,Sierra Leone
2020-04-10,5952402,1198604,499147,Sierra Leone
2020-04-11,5872697,1247463,529992,Sierra Leone
2020-04-12,5790908,1297166,562079,Sierra Leone
2020-04-13,5707110,1347613,595430,Sierra Leone
2020-04-14,5621387,1398702,630064,Sierra Leone
2020-04-15,5533831,1450327,665995,Sierra Leone
2020-04-16,5444539,1502376,703237,Sierra Leone
2020-04-17,5353618,1554737,741797,Sierra Leone
2020-04-18,5261180,1607289,781683,Sierra Leone
2020-04-19,5167345,1659911,822896,Sierra Leone
2020-04-20,5072240,1712477,865436,Sierra Leone
2020-04-21,4975998,1764855,909299,Sierra Leone
2020-04-22,4878763,1816911,954478,Sierra Leone
